time,yaw_degrees
1878.48,-5.17926e-07
1878.48,-5.19424e-07
1878.48,-5.20922e-07
1878.48,-5.2242e-07
1878.49,-5.23918e-07
1878.49,-5.25416e-07
1878.49,-5.26914e-07
1878.49,-5.28412e-07
1878.49,-5.2991e-07
1878.49,-5.31407e-07
1878.49,-5.32905e-07
1878.49,-5.34403e-07
1878.5,-5.35901e-07
1878.5,-5.37399e-07
1878.5,-5.38896e-07
1878.5,-5.40394e-07
1878.5,-5.41892e-07
1878.5,-5.43389e-07
1878.5,-5.44887e-07
1878.5,-5.46385e-07
1878.5,-5.47882e-07
1878.5,-5.4938e-07
1878.51,-5.50877e-07
1878.51,-5.53872e-07
1878.51,-5.5537e-07
1878.51,-5.56868e-07
1878.51,-5.58365e-07
1878.51,-5.59863e-07
1878.51,-5.6136e-07
1878.51,-5.62857e-07
1878.51,-5.64355e-07
1878.51,-5.65852e-07
1878.51,-5.6735e-07
1878.51,-5.68847e-07
1878.51,-5.70344e-07
1878.51,-5.71842e-07
1878.52,-5.73339e-07
1878.52,-5.74836e-07
1878.52,-5.76333e-07
1878.52,-5.77831e-07
1878.53,-5.79328e-07
1878.53,-5.83819e-07
1878.53,-5.85317e-07
1878.53,-5.86814e-07
1878.53,-5.88311e-07
1878.53,-5.89808e-07
1878.53,-5.91305e-07
1878.53,-5.92802e-07
1878.54,-5.94299e-07
1878.54,-5.97293e-07
1878.54,-5.9879e-07
1878.54,-6.03281e-07
1878.54,-6.04778e-07
1878.54,-6.06275e-07
1878.54,-6.07771e-07
1878.54,-6.09268e-07
1878.54,-6.10765e-07
1878.55,-6.12262e-07
1878.55,-6.13759e-07
1878.55,-6.15256e-07
1878.55,-6.16752e-07
1878.55,-6.18249e-07
1878.55,-6.19746e-07
1878.55,-6.21243e-07
1878.56,-6.22739e-07
1878.56,-6.27229e-07
1878.56,-6.28726e-07
1878.56,-6.30222e-07
1878.56,-6.31719e-07
1878.56,-6.33216e-07
1878.56,-6.34712e-07
1878.56,-6.36209e-07
1878.56,-6.37705e-07
1878.56,-6.39202e-07
1878.56,-6.40698e-07
1878.57,-6.42195e-07
1878.57,-6.43691e-07
1878.57,-6.45187e-07
1878.57,-6.46684e-07
1878.57,-6.4818e-07
1878.57,-6.49677e-07
1878.57,-6.51173e-07
1878.57,-6.52669e-07
1878.57,-6.54166e-07
1878.57,-6.55662e-07
1878.58,-6.57158e-07
1878.58,-6.58654e-07
1878.58,-6.60151e-07
1878.58,-6.61647e-07
1878.58,-6.63143e-07
1878.58,-6.64639e-07
1878.58,-6.66135e-07
1878.58,-6.67631e-07
1878.58,-6.69128e-07
1878.58,-6.70624e-07
1878.59,-6.7212e-07
1878.59,-6.73616e-07
1878.59,-6.75112e-07
1878.59,-6.76608e-07
1878.59,-6.78104e-07
1878.59,-6.796e-07
1878.59,-6.81096e-07
1878.59,-6.82592e-07
1878.59,-6.84087e-07
1878.59,-6.85583e-07
1878.6,-6.87079e-07
1878.6,-6.88575e-07
1878.6,-6.90071e-07
1878.6,-6.91567e-07
1878.6,-6.93063e-07
1878.6,-6.94558e-07
1878.6,-6.96054e-07
1878.6,-6.9755e-07
1878.6,-6.99046e-07
1878.6,-7.00541e-07
1878.61,-7.02037e-07
1878.61,-7.03533e-07
1878.61,-7.05028e-07
1878.61,-7.06524e-07
1878.61,-7.08019e-07
1878.61,-7.09515e-07
1878.61,-7.11011e-07
1878.61,-7.12506e-07
1878.61,-7.14002e-07
1878.61,-7.15497e-07
1878.62,-7.16993e-07
1878.62,-7.18488e-07
1878.62,-7.19984e-07
1878.62,-7.21479e-07
1878.62,-7.22975e-07
1878.62,-7.2447e-07
1878.62,-7.25965e-07
1878.62,-7.27461e-07
1878.62,-7.30451e-07
1878.62,-7.31947e-07
1878.63,-7.33442e-07
1878.63,-7.34937e-07
1878.63,-7.36433e-07
1878.63,-7.37928e-07
1878.63,-7.39423e-07
1878.63,-7.40918e-07
1878.63,-7.42413e-07
1878.63,-7.43909e-07
1878.63,-7.45404e-07
1878.63,-7.46899e-07
1878.63,-7.48394e-07
1878.63,-7.49889e-07
1878.63,-7.51384e-07
1878.64,-7.52879e-07
1878.64,-7.54374e-07
1878.64,-7.55869e-07
1878.64,-7.57364e-07
1878.64,-7.58859e-07
1878.64,-7.60354e-07
1878.64,-7.61849e-07
1878.64,-7.63344e-07
1878.65,-7.64839e-07
1878.65,-7.66334e-07
1878.65,-7.67829e-07
1878.65,-7.69324e-07
1878.65,-7.70818e-07
1878.65,-7.72313e-07
1878.65,-7.73808e-07
1878.65,-7.75303e-07
1878.65,-7.76798e-07
1878.66,-7.78292e-07
1878.66,-7.79787e-07
1878.66,-7.81282e-07
1878.66,-7.82777e-07
1878.66,-7.84271e-07
1878.66,-7.85766e-07
1878.66,-7.87261e-07
1878.66,-7.88755e-07
1878.66,-7.9025e-07
1878.66,-7.91744e-07
1878.67,-7.93239e-07
1878.67,-7.94733e-07
1878.67,-7.96228e-07
1878.67,-7.97722e-07
1878.67,-7.99217e-07
1878.67,-8.00711e-07
1878.67,-8.02206e-07
1878.67,-8.037e-07
1878.67,-8.05195e-07
1878.67,-8.06689e-07
1878.68,-8.08184e-07
1878.68,-8.09678e-07
1878.68,-8.11172e-07
1878.68,-8.12667e-07
1878.68,-8.14161e-07
1878.68,-8.15655e-07
1878.68,-8.17149e-07
1878.68,-8.18644e-07
1878.68,-8.20138e-07
1878.68,-8.21632e-07
1878.69,-8.23126e-07
1878.69,-8.2462e-07
1878.69,-8.26115e-07
1878.69,-8.27609e-07
1878.69,-8.29103e-07
1878.69,-8.30597e-07
1878.69,-8.32091e-07
1878.69,-8.33585e-07
1878.7,-8.35079e-07
1878.7,-8.39561e-07
1878.7,-8.41055e-07
1878.7,-8.42549e-07
1878.7,-8.44043e-07
1878.7,-8.45537e-07
1878.7,-8.47031e-07
1878.7,-8.48525e-07
1878.7,-8.50019e-07
1878.7,-8.51512e-07
1878.7,-8.53006e-07
1878.71,-8.545e-07
1878.71,-8.55994e-07
1878.71,-8.57488e-07
1878.71,-8.58981e-07
1878.71,-8.60475e-07
1878.71,-8.61969e-07
1878.71,-8.63462e-07
1878.72,-8.64956e-07
1878.72,-8.67943e-07
1878.72,-8.69437e-07
1878.72,-8.70931e-07
1878.72,-8.75411e-07
1878.72,-8.76905e-07
1878.72,-8.78398e-07
1878.73,-8.79892e-07
1878.73,-8.82878e-07
1878.73,-8.84372e-07
1878.73,-8.85865e-07
1878.73,-8.87359e-07
1878.73,-8.88852e-07
1878.73,-8.90345e-07
1878.73,-8.91839e-07
1878.73,-8.93332e-07
1878.73,-8.94825e-07
1878.73,-8.96319e-07
1878.74,-8.97812e-07
1878.74,-8.99305e-07
1878.74,-9.00798e-07
1878.74,-9.02292e-07
1878.74,-9.03785e-07
1878.74,-9.05278e-07
1878.74,-9.06771e-07
1878.74,-9.08264e-07
1878.74,-9.09757e-07
1878.75,-9.1125e-07
1878.75,-9.12743e-07
1878.75,-9.14236e-07
1878.75,-9.1573e-07
1878.75,-9.17223e-07
1878.75,-9.18716e-07
1878.75,-9.20209e-07
1878.75,-9.21702e-07
1878.75,-9.23194e-07
1878.75,-9.24687e-07
1878.76,-9.2618e-07
1878.76,-9.27673e-07
1878.76,-9.29166e-07
1878.76,-9.30659e-07
1878.76,-9.32152e-07
1878.76,-9.33645e-07
1878.76,-9.35137e-07
1878.76,-9.3663e-07
1878.76,-9.38123e-07
1878.76,-9.39616e-07
1878.77,-9.41108e-07
1878.77,-9.42601e-07
1878.77,-9.44094e-07
1878.77,-9.45586e-07
1878.77,-9.47079e-07
1878.77,-9.48572e-07
1878.77,-9.50064e-07
1878.77,-9.51557e-07
1878.77,-9.53049e-07
1878.77,-9.54542e-07
1878.78,-9.56034e-07
1878.78,-9.57527e-07
1878.78,-9.59019e-07
1878.78,-9.60512e-07
1878.78,-9.62004e-07
1878.78,-9.63497e-07
1878.78,-9.64989e-07
1878.78,-9.66482e-07
1878.78,-9.67974e-07
1878.78,-9.69466e-07
1878.79,-9.70959e-07
1878.79,-9.72451e-07
1878.79,-9.73943e-07
1878.79,-9.75436e-07
1878.79,-9.79913e-07
1878.8,-9.81405e-07
1878.8,-9.88866e-07
1878.8,-9.90358e-07
1878.8,-9.9185e-07
1878.8,-9.93342e-07
1878.8,-9.94834e-07
1878.8,-9.96326e-07
1878.8,-9.97818e-07
1878.81,-9.9931e-07
1878.81,-1.0008e-06
1878.81,-1.00229e-06
1878.81,-1.00379e-06
1878.81,-1.00528e-06
1878.81,-1.00677e-06
1878.81,-1.00826e-06
1878.81,-1.00975e-06
1878.81,-1.01125e-06
1878.81,-1.01274e-06
1878.81,-1.01423e-06
1878.82,-1.01572e-06
1878.82,-1.01721e-06
1878.82,-1.0187e-06
1878.82,-1.0202e-06
1878.82,-1.02169e-06
1878.82,-1.02318e-06
1878.82,-1.02467e-06
1878.82,-1.02616e-06
1878.83,-1.02765e-06
1878.83,-1.02915e-06
1878.83,-1.03064e-06
1878.83,-1.03213e-06
1878.83,-1.03362e-06
1878.83,-1.03511e-06
1878.83,-1.0366e-06
1878.83,-1.0381e-06
1878.83,-1.03959e-06
1878.83,-1.04108e-06
1878.83,-1.04257e-06
1878.83,-1.04406e-06
1878.84,-1.04555e-06
1878.84,-1.04704e-06
1878.84,-1.04854e-06
1878.84,-1.05003e-06
1878.84,-1.05152e-06
1878.84,-1.05301e-06
1878.84,-1.0545e-06
1878.84,-1.05599e-06
1878.84,-1.05748e-06
1878.84,-1.05897e-06
1878.85,-1.06047e-06
1878.85,-1.06196e-06
1878.85,-1.06345e-06
1878.85,-1.06494e-06
1878.85,-1.06643e-06
1878.85,-1.06792e-06
1878.85,-1.06941e-06
1878.85,-1.0709e-06
1878.85,-1.0724e-06
1878.85,-1.07389e-06
1878.86,-1.07538e-06
1878.86,-1.07687e-06
1878.86,-1.07836e-06
1878.86,-1.07985e-06
1878.86,-1.08134e-06
1878.86,-1.08283e-06
1878.86,-1.08432e-06
1878.86,-1.08581e-06
1878.86,-1.08731e-06
1878.86,-1.0888e-06
1878.87,-1.09029e-06
1878.87,-1.09178e-06
1878.87,-1.09327e-06
1878.87,-1.10221e-06
1878.88,-1.1037e-06
1878.88,-1.10519e-06
1878.88,-1.10669e-06
1878.88,-1.10818e-06
1878.88,-1.10967e-06
1878.88,-1.11116e-06
1878.88,-1.11265e-06
1878.88,-1.11414e-06
1878.88,-1.11563e-06
1878.88,-1.11712e-06
1878.88,-1.11861e-06
1878.88,-1.1201e-06
1878.89,-1.12159e-06
